hospital_id,hospital_name,latitude,longitude,er_admissions,bed_availability,ambulance_arrivals,staff_capacity,total_beds,status,total_icu,occupied_icu,doctors,nurses,support,on_leave,alerts_count,staff_status
H007,Kokilaben Dhirubhai Ambani Hospital,19.143,72.9384,15,6,10,140,295,Red,34,33,35,77,28,4,2,limited
H026,Shatabdi Hospital,19.0578,72.8865,9,32,2,87,167,Yellow,17,13,21,47,19,4,1,adequate
H003,Sion Hospital,19.0084,72.9233,40,10,10,75,162,Red,18,17,18,41,16,4,4,shortage
H039,V.N. Desai Hospital,19.0044,72.8504,5,141,1,127,288,Green,44,10,31,69,27,5,0,adequate
H036,Kapadia Multispeciality Hospital,19.0504,72.934,0,144,0,126,233,Green,34,12,31,69,26,4,0,adequate
H002,P.D. Hinduja Hospital,19.1405,72.8972,34,3,7,53,120,Red,22,21,13,29,11,1,3,shortage
H038,H.N. Reliance Foundation Hospital,19.1414,72.8448,3,173,1,128,249,Green,48,30,32,70,26,6,0,adequate
H024,Masina Hospital,19.1307,72.8334,15,38,3,131,279,Yellow,30,27,32,72,27,9,1,limited
H045,Holy Spirit Hospital,19.1275,72.8901,0,69,2,63,150,Green,16,7,15,34,14,4,0,adequate
H043,Fortis Hospital Mulund,19.0698,72.8384,2,65,0,44,105,Green,17,6,11,24,9,3,0,adequate
H014,SRV Hospital,19.1176,72.8683,11,31,6,133,224,Yellow,33,30,33,73,27,4,0,limited
H005,Saifee Hospital,19.0633,72.8095,27,3,12,106,202,Red,27,26,26,58,22,7,2,limited
H023,Hinduja Healthcare Surgical,19.1105,72.8498,11,36,3,167,291,Yellow,33,29,41,91,35,3,0,adequate
H017,Holy Family Hospital,19.0196,72.8968,12,54,4,124,268,Yellow,42,38,31,68,25,4,2,limited
H004,Cooper Hospital,19.037,72.8842,23,2,11,57,116,Red,14,13,14,31,12,2,4,shortage
H027,Bhabha Hospital,19.0296,72.8647,5,42,1,58,100,Green,15,7,14,31,13,3,0,adequate
H032,Sir J.J. Group of Hospitals,19.1045,72.8742,1,173,0,134,256,Green,47,16,33,73,28,4,0,adequate
H042,Kohinoor Hospital,19.1172,72.8978,0,113,0,103,220,Green,22,15,25,56,22,6,0,adequate
H033,Prince Aly Khan Hospital,19.1206,72.9044,3,41,0,56,101,Green,19,11,14,30,12,1,0,adequate
H001,MGM Hospital Vashi,19.0288,72.8104,36,6,8,64,111,Red,19,18,16,35,13,2,4,limited
H011,St. Elizabeth's Hospital,19.0611,72.8141,36,13,11,76,171,Red,28,24,19,41,16,3,3,shortage
H013,Reliance Hospital Kopar Khairane,19.0022,72.814,39,11,8,77,146,Red,18,17,19,42,16,4,2,shortage
H022,K.J. Somaiya Hospital,19.0374,72.8154,13,53,5,112,194,Yellow,30,21,28,61,23,3,0,limited
H020,Fortis Hiranandani Hospital Vashi,19.0396,72.8733,5,35,2,55,127,Yellow,22,16,13,30,12,3,1,limited
H019,KEM Hospital,19.0832,72.9398,6,36,3,107,212,Yellow,38,32,26,58,23,6,2,adequate
H037,Lilavati Hospital,19.0624,72.831,3,90,1,95,198,Green,33,4,23,52,20,4,0,adequate
H025,S.L. Raheja Hospital,19.0497,72.8041,9,20,3,91,171,Yellow,31,23,22,50,19,6,1,limited
H008,Jaslok Hospital,19.0104,72.9141,39,3,7,53,128,Red,24,23,13,29,11,2,2,limited
H015,Wockhardt Hospital,19.0075,72.8715,13,55,3,92,224,Yellow,25,23,23,50,19,3,2,limited
H029,Apollo Hospitals Navi Mumbai,19.0001,72.843,3,76,2,90,197,Green,33,15,22,49,19,4,0,adequate
H009,Lifeline Medicare Hospital,19.1069,72.8598,36,17,10,121,221,Red,43,39,30,66,25,7,4,limited
H006,Global Hospital,19.044,72.8237,15,22,9,133,241,Red,44,41,33,73,27,5,3,shortage
H016,Terna Speciality Hospital,19.0855,72.8868,5,61,6,110,230,Yellow,24,20,27,60,23,8,0,limited
H021,Suvidha Hospital,19.0642,72.8015,6,41,3,93,170,Yellow,17,12,23,51,19,4,0,adequate
H041,Dr L H Hiranandani Hospital,19.0569,72.9128,3,83,1,67,146,Green,15,3,16,36,15,4,0,adequate
H044,Sushrusha Hospital,19.1393,72.8864,3,125,1,134,291,Green,50,9,33,73,28,7,0,adequate
H046,SevenHills Hospital,19.063,72.8735,3,89,1,99,188,Green,28,3,24,54,21,2,0,adequate
H031,Rajawadi Hospital,19.121,72.8221,0,175,0,117,262,Green,42,28,29,64,24,4,0,adequate
H035,Nanavati Hospital,19.0389,72.8371,5,107,1,114,209,Green,38,24,28,62,24,5,0,adequate
H040,Wadia Hospital,19.0994,72.8126,3,79,0,127,219,Green,42,17,31,69,27,7,0,adequate
H018,Bombay Hospital,19.14,72.9321,8,22,4,52,118,Yellow,11,9,13,28,11,1,2,limited
H034,D Y Patil Hospital,19.1425,72.9337,4,55,2,78,131,Green,19,9,19,42,17,4,0,adequate
H012,Tata Memorial Hospital,19.0164,72.8287,32,7,12,111,205,Red,30,28,27,61,23,7,3,shortage
H028,Cloudnine Hospital Vashi,19.0604,72.8443,1,121,0,124,269,Green,49,13,31,68,25,5,0,adequate
H010,Breach Candy Hospital,19.0343,72.9358,25,17,6,96,232,Red,33,32,24,52,20,5,2,shortage
H030,Siddharth Hospital,19.1194,72.8255,0,100,1,90,182,Green,26,5,22,49,19,6,0,adequate
